@relation InstanceResultListener

@attribute Key_Dataset {cpu}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.LinearRegression,weka.classifiers.functions.GaussianProcesses}
@attribute Key_Scheme_options {'-S 0 -R 1.0E-8 -num-decimal-places 4','-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -S 1'}
@attribute Key_Scheme_version_ID {-3364580862046573747,-8620066949967678545}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data
cpu,3,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,26.881729,33.189194,36.188671,38.543132,0.953443,0,0,?,?,?,?,?,?,0.009,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,3,8,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,56.040304,121.080298,41.609313,47.450445,0.919896,0,0,?,?,?,?,?,?,0.002,0,0,0,0,0,4982,17074,2879,?,?,?
cpu,3,9,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,42.203243,65.211735,45.943673,56.171255,0.835056,0,0,?,?,?,?,?,?,0.001,0,0.01,0,10,0,4974,17074,2879,?,?,?
cpu,3,10,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,189,20,45.148602,80.08819,34.907784,30.864889,0.956354,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17159,2794,?,?,?
cpu,4,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,38.5833,54.360384,41.65453,50.55787,0.937527,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,4,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,33.333895,50.476711,45.870574,50.779229,0.879526,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,4,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,25.962913,29.3487,36.160225,36.104753,0.92671,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,4,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,42.671981,66.393691,40.543938,34.352545,0.941594,0,0,?,?,?,?,?,?,0.02,0.001,0,0,0,0,4974,17074,2879,?,?,?
cpu,4,5,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,41.742886,51.272722,72.753683,82.289809,0.913757,0,0,?,?,?,?,?,?,0.006,0.002,0,0,0,0,4974,17074,2879,?,?,?
cpu,4,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,33.293834,51.486845,31.349648,35.260447,0.937802,0,0,?,?,?,?,?,?,0.002,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,4,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,48.510985,72.62376,40.377412,30.067795,0.962068,0,0,?,?,?,?,?,?,0.002,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,4,8,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,51.604249,115.234879,41.995926,47.407679,0.918866,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4982,17074,2879,?,?,?
