@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 30\nSize of the tree: 46\n','Number of leaves: 32\nSize of the tree: 51\n','Number of leaves: 30\nSize of the tree: 48\n','Number of leaves: 35\nSize of the tree: 54\n','Number of leaves: 30\nSize of the tree: 50\n','Number of leaves: 28\nSize of the tree: 47\n','Number of leaves: 33\nSize of the tree: 53\n','Number of leaves: 31\nSize of the tree: 49\n','Number of leaves: 29\nSize of the tree: 48\n','Number of leaves: 29\nSize of the tree: 49\n','Number of leaves: 33\nSize of the tree: 55\n','Number of leaves: 30\nSize of the tree: 47\n','Number of leaves: 26\nSize of the tree: 43\n','Number of leaves: 32\nSize of the tree: 54\n','Number of leaves: 31\nSize of the tree: 52\n','Number of leaves: 28\nSize of the tree: 46\n','Number of leaves: 31\nSize of the tree: 50\n','Number of leaves: 35\nSize of the tree: 56\n','Number of leaves: 29\nSize of the tree: 46\n','Number of leaves: 30\nSize of the tree: 51\n','Number of leaves: 28\nSize of the tree: 44\n','Number of leaves: 27\nSize of the tree: 45\n','Number of leaves: 36\nSize of the tree: 55\n','Number of leaves: 32\nSize of the tree: 49\n','Number of leaves: 34\nSize of the tree: 56\n','Number of leaves: 28\nSize of the tree: 43\n','Number of leaves: 34\nSize of the tree: 57\n','Number of leaves: 36\nSize of the tree: 58\n','Number of leaves: 32\nSize of the tree: 50\n','Number of leaves: 29\nSize of the tree: 45\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureKNN numeric

@data

audiology,2,10,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,204,22,17,5,0,77.272727,22.727273,0,0.727723,0.020624,0.110411,28.643183,58.743991,73.418809,1085.18688,-1011.768071,3.337219,49.326676,-45.989458,59.682752,2.712852,81.29082,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.772727,0.037993,0.962007,0.227273,?,0.772727,?,?,0.969034,0.899154,?,0.772727,0.007,0.001,0,0,0,0,47638,132102,24904,95.454545,7.954545,'Number of leaves: 32\nSize of the tree: 54\n',54,32,32,?
audiology,3,1,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,19,4,0,82.608696,17.391304,0,0.801296,0.018627,0.10599,25.559127,55.634858,82.072693,2155.097642,-2073.024949,3.568378,93.699897,-90.13152,65.322909,2.840126,79.591526,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.826087,0.010258,0.989742,0.173913,?,0.826087,?,?,0.93668,0.84226,?,0.826087,0.009,0,0,0,0,0,46394,131513,25493,91.304348,7.065217,'Number of leaves: 31\nSize of the tree: 52\n',52,31,31,?
audiology,3,2,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,15,8,0,65.217391,34.782609,0,0.595604,0.031004,0.146922,42.476899,76.98968,84.242618,3237.293995,-3153.051377,3.662723,140.751913,-137.08919,51.24394,2.227997,60.828998,0,0,0,0,1,22,1,1,?,0,?,?,0.5,0.043478,0.652174,0.048654,0.951346,0.347826,?,0.652174,?,?,0.888167,0.655869,?,0.652174,0.007,0,0.01,0,10,0,42662,131513,25493,86.956522,7.789855,'Number of leaves: 28\nSize of the tree: 46\n',46,28,28,?
audiology,3,3,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,18,5,0,78.26087,21.73913,0,0.746137,0.020611,0.116324,28.48028,61.5421,78.690807,2157.996437,-2079.305631,3.421339,93.825932,-90.404593,61.222124,2.661831,77.80086,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.782609,0.027768,0.972232,0.217391,?,0.782609,?,?,0.932214,0.804843,?,0.782609,0.009,0.001,0,0,0,0,45302,131513,25493,91.304348,7.065217,'Number of leaves: 31\nSize of the tree: 50\n',50,31,31,?
audiology,3,4,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,17,6,0,73.913043,26.086957,0,0.69469,0.026613,0.140313,36.717403,74.105941,81.690807,3235.200695,-3153.509888,3.551774,140.6609,-137.109126,55.153239,2.397967,67.514621,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.73913,0.035704,0.964296,0.26087,?,0.73913,?,?,0.89202,0.727851,?,0.73913,0.014,0.001,0,0,0,0,49186,131513,25493,78.26087,7.427536,'Number of leaves: 35\nSize of the tree: 56\n',56,35,35,?
audiology,3,5,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,18,5,0,78.26087,21.73913,0,0.746696,0.020216,0.113038,27.897464,59.715619,80.690807,1085.344144,-1004.653337,3.508296,47.188876,-43.68058,63.094277,2.743229,78.192647,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.782609,0.020359,0.979641,0.217391,?,0.782609,?,?,0.95842,0.865417,?,0.782609,0.016,0.001,0.01,0,10,0,43906,131513,25493,95.652174,6.884058,'Number of leaves: 29\nSize of the tree: 48\n',48,29,29,?
audiology,3,6,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,17,6,0,73.913043,26.086957,0,0.691275,0.024652,0.121787,34.019544,64.337679,81.275769,2158.703521,-2077.427752,3.533729,93.856675,-90.322946,60.177859,2.616429,74.041575,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.73913,0.034412,0.965588,0.26087,?,0.73913,?,?,0.933277,0.7977,?,0.73913,0.006,0.001,0,0,0,0,44452,131513,25493,91.304348,7.427536,'Number of leaves: 29\nSize of the tree: 49\n',49,29,29,?
audiology,3,7,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,204,22,18,4,0,81.818182,18.181818,0,0.786408,0.019284,0.103358,26.756922,54.934616,75.003772,15.412841,59.590931,3.409262,0.700584,2.708679,61.296224,2.786192,81.724189,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.818182,0.013636,0.986364,0.181818,?,0.818182,?,?,0.977903,0.852273,?,0.818182,0.013,0,0,0,0,0,42814,132102,24904,95.454545,8.143939,'Number of leaves: 29\nSize of the tree: 46\n',46,29,29,?
audiology,3,8,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,204,22,20,2,0,90.909091,9.090909,0,0.893462,0.013462,0.085058,18.589186,44.963685,76.152368,2150.429688,-2074.27732,3.461471,97.746804,-94.285333,63.225221,2.873874,83.024629,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.909091,0.004545,0.995455,0.090909,?,0.909091,?,?,0.948485,0.889118,?,0.909091,0.016,0.002,0.01,0,10,0,45302,132102,24904,90.909091,6.628788,'Number of leaves: 31\nSize of the tree: 50\n',50,31,31,?
audiology,3,9,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,204,22,15,7,0,68.181818,31.818182,0,0.628019,0.027195,0.146202,37.561606,77.306029,75.152368,3235.150754,-3159.998386,3.416017,147.052307,-143.63629,50.977383,2.317154,67.832039,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.681818,0.035945,0.964055,0.318182,?,0.681818,?,?,0.894574,0.721921,?,0.681818,0.009,0.001,0,0,0,0,43906,132102,24904,81.818182,7.386364,'Number of leaves: 29\nSize of the tree: 48\n',48,29,29,?
