@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

credit-rating,10,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,456,234,192,42,0,82.051282,17.948718,0,0.639313,0.197245,0.394628,39.93342,79.417244,231.912442,303.840262,-71.927821,0.991079,1.298463,-0.307384,138.961683,0.593853,59.919891,0.836538,87,0.192308,25,0.807692,105,0.163462,17,0.776786,0.836538,0.805556,0.640827,0.849112,0.776663,0.820513,0.176282,0.823718,0.179487,0.82338,0.820513,0.820988,0.640827,0.849112,0.803194,0.819444,0.820513,0.001,0.009,0,0.01,0,10,76537,74528,39674,88.461538,58.119658,?
credit-rating,1,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,456,234,194,40,0,82.905983,17.094017,0,0.653846,0.221205,0.384142,44.784298,77.306882,231.912442,264.174116,-32.261675,0.991079,1.128949,-0.13787,130.60306,0.558133,56.315676,0.807692,84,0.153846,20,0.846154,110,0.192308,20,0.807692,0.807692,0.807692,0.653846,0.858432,0.791191,0.82906,0.175214,0.824786,0.17094,0.82906,0.82906,0.82906,0.653846,0.858432,0.816983,0.826923,0.82906,0,0.01,0,0.01,0,10,76545,74528,39674,91.880342,66.452991,?
credit-rating,2,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,456,234,201,33,0,85.897436,14.102564,0,0.712488,0.195602,0.347871,39.600702,70.007595,231.912442,201.246691,30.665751,0.991079,0.860029,0.13105,142.956088,0.610923,61.642267,0.807692,84,0.1,13,0.9,117,0.192308,20,0.865979,0.807692,0.835821,0.713817,0.898891,0.825802,0.858974,0.151282,0.848718,0.141026,0.859332,0.858974,0.858367,0.713817,0.898891,0.86295,0.856113,0.858974,0,0.01,0,0.01,0,10,76545,74528,39674,94.444444,66.666667,?
credit-rating,3,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,455,235,205,30,0,87.234043,12.765957,0,0.741284,0.177777,0.32025,35.982605,64.414649,233.082553,151.709544,81.373009,0.991841,0.645573,0.346268,151.900183,0.646384,65.170122,0.847619,89,0.107692,14,0.892308,116,0.152381,16,0.864078,0.847619,0.855769,0.741395,0.922198,0.872802,0.87234,0.132414,0.867586,0.12766,0.872215,0.87234,0.872214,0.741395,0.922198,0.893317,0.870633,0.87234,0,0.009,0,0.01,0,10,76388,74371,39831,96.595745,66.808511,?
credit-rating,4,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,455,235,191,44,0,81.276596,18.723404,0,0.619769,0.217435,0.37461,44.029457,75.41917,232.76744,223.360202,9.407238,0.9905,0.950469,0.040031,131.605119,0.560022,56.539316,0.778846,81,0.160305,21,0.839695,110,0.221154,23,0.794118,0.778846,0.786408,0.619862,0.874486,0.799586,0.812766,0.194225,0.805775,0.187234,0.812486,0.812766,0.812566,0.619862,0.874486,0.836268,0.809871,0.812766,0,0.01,0,0.01,0,10,76388,74371,39831,94.042553,67.234043,?
credit-rating,5,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,455,235,201,34,0,85.531915,14.468085,0,0.705601,0.194773,0.351181,39.440561,70.702241,232.76744,209.869422,22.898017,0.9905,0.893061,0.097438,143.568738,0.610931,61.679047,0.817308,85,0.114504,15,0.885496,116,0.182692,19,0.85,0.817308,0.833333,0.706024,0.891038,0.838341,0.855319,0.152515,0.847485,0.144681,0.855162,0.855319,0.854989,0.706024,0.891038,0.856495,0.852757,0.855319,0,0.012,0,0.01,0,10,76388,74371,39831,94.042553,65.957447,?
credit-rating,6,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,456,234,198,36,0,84.615385,15.384615,0,0.684825,0.197024,0.360572,39.88868,72.563521,231.912442,227.827926,4.084516,0.991079,0.973624,0.017455,141.586001,0.605068,61.05149,0.769231,80,0.092308,12,0.907692,118,0.230769,24,0.869565,0.769231,0.816327,0.688636,0.881731,0.831262,0.846154,0.169231,0.830769,0.153846,0.848132,0.846154,0.844838,0.688636,0.881731,0.845894,0.841987,0.846154,0,0.01,0,0.01,0,10,76545,74528,39674,93.162393,64.957265,?
credit-rating,7,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,455,235,197,38,0,83.829787,16.170213,0,0.673492,0.207521,0.377724,42.002808,75.974833,233.082553,266.275997,-33.193444,0.991841,1.133089,-0.141249,137.525738,0.585216,59.003017,0.828571,87,0.153846,20,0.846154,110,0.171429,18,0.813084,0.828571,0.820755,0.673591,0.866447,0.792678,0.838298,0.163573,0.836427,0.161702,0.838692,0.838298,0.838434,0.673591,0.866447,0.825186,0.836734,0.838298,0.004,0.01,0,0.01,0,10,76388,74371,39831,91.489362,64.468085,?
credit-rating,8,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,456,234,196,38,0,83.760684,16.239316,0,0.671154,0.209826,0.358623,42.480478,72.171308,231.912442,200.909358,31.003083,0.991079,0.858587,0.132492,135.802313,0.580352,58.55758,0.817308,85,0.146154,19,0.853846,111,0.182692,19,0.817308,0.817308,0.817308,0.671154,0.890274,0.805763,0.837607,0.166453,0.833547,0.162393,0.837607,0.837607,0.837607,0.671154,0.890274,0.853589,0.835577,0.837607,0,0.009,0,0.01,0,10,76545,74528,39674,94.871795,68.162393,?
credit-rating,9,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,456,234,204,30,0,87.179487,12.820513,0,0.738878,0.18849,0.328969,38.160814,66.203693,231.912442,164.076099,67.836343,0.991079,0.70118,0.289899,146.663917,0.626769,63.241073,0.826923,86,0.092308,12,0.907692,118,0.173077,18,0.877551,0.826923,0.851485,0.739888,0.915754,0.859497,0.871795,0.137179,0.862821,0.128205,0.872049,0.871795,0.871337,0.739888,0.915754,0.884596,0.869352,0.871795,0,0.01,0,0.01,0,10,76545,74528,39674,96.153846,67.948718,?
